,date,open,high,low,adjClose,value,volume,count,yesterday,close,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2008-11-26,19.0,20.0,19.0,20.0,295781378.0,126348.0,20.0,20.0,20.0,2010-09-12,90,11,180,7,1866452,3365491,4327572,904371,5470602315,9865605849,12679023677,2657184487,2931.016878548176,2929.8238543460398,2931.4016436234715,2938.1575559145526,-2461120.0
1,2008-11-29,19.0,26.0,19.0,20.0,122693235343.0,38410161.0,295.0,20.0,20.0,2010-09-13,136,18,211,11,2458267,15029423,7520767,9966923,6944678974,42530488332,21202124354,28273042952,2825.0303868538285,2819.143892371616,2829.815112130386,2836.6872054695314,-5062500.0
2,2008-11-30,19.0,20.0,19.0,20.0,233924100.0,100010.0,15.0,20.0,20.0,2010-09-14,111,18,117,13,1283280,3980805,2254338,3009747,3599102243,11147588883,6308199656,8438491470,2804.611809581697,2798.2492669688395,2800.335329914427,2803.721199821779,-971058.0
3,2008-12-01,19.0,20.0,19.0,20.0,300845198.0,128676.0,13.0,20.0,20.0,2010-09-15,98,4,102,11,2867717,2101885,2568056,2401546,8006622135,5850390374,7157417091,6699595418,2791.9847512847327,2787.0954103025792,2783.4017436729414,2789.7010584015466,299661.0
4,2008-12-02,19.0,19.0,19.0,19.0,66728361.0,28553.0,9.0,20.0,19.0,2010-09-18,99,5,91,6,2277138,571910,2216488,632560,6319917389,1574583630,6134188759,1760312260,2775.3774206921144,2767.5262663276317,2753.2017800003496,2782.8384026811686,60650.0
5,2008-12-03,19.0,19.0,19.0,19.0,53619084.0,23652.0,46.0,19.0,19.0,2010-09-19,116,18,99,9,2534556,5436887,2057240,5914203,6900399434,14555066321,5594165070,15861300685,2722.527903901117,2719.2573885399856,2677.095610226955,2681.899942392914,477316.0
6,2008-12-06,18.0,18.0,18.0,18.0,21932826.0,9974.0,4.0,19.0,18.0,2010-09-20,76,10,109,6,1873910,2655478,2742476,1786912,4965435932,7038565028,7266914628,4737086332,2649.772898378257,2649.764164937086,2650.5830694134916,2650.990273723608,-868566.0
7,2008-12-07,18.0,18.0,18.0,18.0,12804000.0,6000.0,2.0,18.0,18.0,2010-09-21,123,8,86,11,2435834,1518363,1586088,2368109,6659759884,4178001680,4320128057,6517633507,2734.0778903652713,2723.763156268757,2751.648769101987,2752.252327489993,849746.0
8,2008-12-08,17.0,17.0,17.0,17.0,101225070.0,48901.0,7.0,18.0,17.0,2010-09-22,194,13,101,12,5294177,3826808,3041351,6079634,14964989890,10822466283,8591704490,17195751683,2826.688622235335,2824.9631463122805,2828.0661802212185,2828.4188954466667,2252826.0
9,2008-12-10,17.0,17.0,17.0,17.0,12728693928.0,6338991.0,209.0,17.0,17.0,2010-09-25,85,5,108,8,1698320,3730144,2267662,3160802,4773912204,10466084146,6383954844,8856041506,2810.961540816807,2815.2144561226496,2805.812361667539,2801.833682084484,-569342.0
10,2008-12-13,16.0,16.0,16.0,16.0,45545413681.0,23379522.0,1174.0,17.0,16.0,2010-09-26,70,9,78,6,1179312,4819483,2538210,3460585,3218160821,13029237613,6905689892,9341708542,2728.8459890173253,2720.692886719381,2703.4513064990583,2699.4593521037627,-1358898.0
11,2008-12-14,16.0,16.0,16.0,16.0,14057709080.0,7434850.0,485.0,16.0,16.0,2010-09-27,59,8,110,6,509504,1904122,1847778,565848,1363892728,5099728417,4947034154,1516586991,2676.902885943977,2677.2881558282434,2678.2571794244277,2680.202087839844,-1338274.0
12,2008-12-15,15.0,16.0,15.0,15.0,5564589662.0,2980938.0,253.0,16.0,15.0,2010-09-28,75,4,101,9,3246210,1771590,3029984,1987816,8753304423,4777504326,8164277337,5366531412,2696.4689354662823,2694.49519766441,2696.7324979255923,2699.7123536584877,216226.0
13,2008-12-16,15.0,16.0,15.0,16.0,3086551489.0,1611583.0,192.0,15.0,16.0,2010-09-29,83,8,85,8,1957320,3445945,2011523,3391742,5322290078,9364797294,5476662464,9210424908,2719.1721731755665,2722.6447144775375,2717.6281960391125,2715.544079708893,-54203.0
