jdate,value,date
1387-09-14,9248.9,2008-12-04
1387-09-15,9248.9,2008-12-05
1387-09-16,9178.3,2008-12-06
1387-09-17,9130.5,2008-12-07
1387-09-18,9089.2,2008-12-08
1387-09-20,9023.7,2008-12-10
1387-09-23,8973.3,2008-12-13
1387-09-24,8907.0,2008-12-14
1387-09-25,8890.7,2008-12-15
1387-09-26,8869.0,2008-12-16
1387-09-30,8857.1,2008-12-20
1387-10-01,8851.6,2008-12-21
1387-10-02,8832.2,2008-12-22
1387-10-03,8803.4,2008-12-23
1387-10-04,8795.7,2008-12-24
1387-10-07,8786.7,2008-12-27
1387-10-08,8757.8,2008-12-28
1387-10-09,8726.9,2008-12-29
1387-10-10,8695.0,2008-12-30
1387-10-11,8656.3,2008-12-31
1387-10-14,8641.8,2009-01-03
1387-10-15,8619.6,2009-01-04
1387-10-16,8596.4,2009-01-05
1387-10-21,8575.7,2009-01-10
1387-10-22,8542.0,2009-01-11
1387-10-23,8519.0,2009-01-12
1387-10-24,8463.7,2009-01-13
1387-10-25,8456.9,2009-01-14
1387-10-28,8458.1,2009-01-17
1387-10-29,8459.9,2009-01-18
1387-10-30,8467.4,2009-01-19
1387-11-01,8496.9,2009-01-20
1387-11-02,8514.3,2009-01-21
1387-11-05,8553.7,2009-01-24
1387-11-06,8519.1,2009-01-25
1387-11-07,8507.3,2009-01-26
1387-11-08,8509.1,2009-01-27
1387-11-09,8505.6,2009-01-28
1387-11-12,8508.3,2009-01-31
1387-11-13,8491.8,2009-02-01
1387-11-14,8496.2,2009-02-02
1387-11-15,8483.4,2009-02-03
1387-11-16,8466.4,2009-02-04
1387-11-19,8451.3,2009-02-07
1387-11-20,8438.0,2009-02-08
1387-11-21,8423.7,2009-02-09
1387-11-23,8430.0,2009-02-11
1387-11-26,8420.0,2009-02-14
1387-11-27,8412.7,2009-02-15
1387-11-29,8390.2,2009-02-17
1387-11-30,8376.6,2009-02-18
1387-12-03,8355.9,2009-02-21
1387-12-04,8297.0,2009-02-22
1387-12-05,8266.2,2009-02-23
1387-12-07,8248.9,2009-02-25
1387-12-10,8243.2,2009-02-28
1387-12-11,8226.8,2009-03-01
1387-12-12,8216.1,2009-03-02
1387-12-13,8200.9,2009-03-03
1387-12-14,8185.3,2009-03-04
1387-12-17,8133.5,2009-03-07
1387-12-18,8111.2,2009-03-08
1387-12-19,8096.0,2009-03-09
1387-12-20,8126.5,2009-03-10
1387-12-21,8130.4,2009-03-11
1387-12-24,8120.3,2009-03-14
1387-12-26,7977.1,2009-03-16
1387-12-27,7972.3,2009-03-17
1387-12-28,7966.5,2009-03-18
1388-01-05,7965.6,2009-03-25
1388-01-08,7965.8,2009-03-28
1388-01-09,7955.4,2009-03-29
1388-01-10,7970.3,2009-03-30
1388-01-11,7988.7,2009-03-31
1388-01-15,8001.6,2009-04-04
1388-01-16,8006.0,2009-04-05
1388-01-17,8049.0,2009-04-06
1388-01-18,8077.9,2009-04-07
1388-01-19,8111.1,2009-04-08
1388-01-22,8153.5,2009-04-11
1388-01-23,8175.9,2009-04-12
1388-01-24,8203.6,2009-04-13
1388-01-25,8252.4,2009-04-14
1388-01-26,8251.6,2009-04-15
1388-01-29,8290.4,2009-04-18
1388-01-30,8348.0,2009-04-19
1388-01-31,8431.2,2009-04-20
1388-02-01,8434.9,2009-04-21
1388-02-02,8476.4,2009-04-22
1388-02-05,8469.1,2009-04-25
1388-02-06,8502.6,2009-04-26
1388-02-07,8518.1,2009-04-27
1388-02-08,8527.8,2009-04-28
1388-02-09,8535.0,2009-04-29
1388-02-12,8548.3,2009-05-02
1388-02-13,8584.6,2009-05-03
1388-02-14,8638.3,2009-05-04
1388-02-15,8699.5,2009-05-05
1388-02-16,8774.2,2009-05-06
1388-02-19,8872.4,2009-05-09
1388-02-20,8930.4,2009-05-10
1388-02-21,8989.5,2009-05-11
1388-02-22,8968.3,2009-05-12
1388-02-23,8932.1,2009-05-13
1388-02-26,8888.0,2009-05-16
1388-02-27,8919.4,2009-05-17
1388-02-28,8963.8,2009-05-18
1388-02-29,8956.3,2009-05-19
1388-02-30,9000.8,2009-05-20
1388-03-02,9042.1,2009-05-23
1388-03-03,9019.5,2009-05-24
1388-03-04,8971.1,2009-05-25
1388-03-05,8934.6,2009-05-26
1388-03-06,8953.7,2009-05-27
1388-03-09,9001.3,2009-05-30
1388-03-10,9000.6,2009-05-31
1388-03-11,9006.3,2009-06-01
1388-03-12,9032.3,2009-06-02
1388-03-13,9081.7,2009-06-03
1388-03-16,9121.3,2009-06-06
1388-03-17,9195.1,2009-06-07
1388-03-18,9235.5,2009-06-08
1388-03-19,9278.5,2009-06-09
1388-03-20,9343.3,2009-06-10
1388-03-23,9365.4,2009-06-13
1388-03-24,9310.3,2009-06-14
1388-03-25,9299.0,2009-06-15
1388-03-26,9271.1,2009-06-16
1388-03-27,9247.2,2009-06-17
1388-03-30,9247.7,2009-06-20
1388-03-31,9258.4,2009-06-21
