value,date
9248.9,2008-12-04
9248.9,2008-12-05
9178.3,2008-12-06
9130.5,2008-12-07
9089.2,2008-12-08
9023.7,2008-12-10
8973.3,2008-12-13
8907.0,2008-12-14
8890.7,2008-12-15
8869.0,2008-12-16
8857.1,2008-12-20
8851.6,2008-12-21
8832.2,2008-12-22
8803.4,2008-12-23
8795.7,2008-12-24
8786.7,2008-12-27
8757.8,2008-12-28
8726.9,2008-12-29
8695.0,2008-12-30
8656.3,2008-12-31
8641.8,2009-01-03
8619.6,2009-01-04
8596.4,2009-01-05
8575.7,2009-01-10
8542.0,2009-01-11
8519.0,2009-01-12
8463.7,2009-01-13
8456.9,2009-01-14
8458.1,2009-01-17
8459.9,2009-01-18
8467.4,2009-01-19
8496.9,2009-01-20
8514.3,2009-01-21
8553.7,2009-01-24
8519.1,2009-01-25
8507.3,2009-01-26
8509.1,2009-01-27
8505.6,2009-01-28
8508.3,2009-01-31
8491.8,2009-02-01
8496.2,2009-02-02
8483.4,2009-02-03
8466.4,2009-02-04
8451.3,2009-02-07
8438.0,2009-02-08
8423.7,2009-02-09
8430.0,2009-02-11
8420.0,2009-02-14
8412.7,2009-02-15
8390.2,2009-02-17
8376.6,2009-02-18
8355.9,2009-02-21
8297.0,2009-02-22
8266.2,2009-02-23
8248.9,2009-02-25
8243.2,2009-02-28
8226.8,2009-03-01
8216.1,2009-03-02
8200.9,2009-03-03
8185.3,2009-03-04
8133.5,2009-03-07
8111.2,2009-03-08
8096.0,2009-03-09
8126.5,2009-03-10
8130.4,2009-03-11
8120.3,2009-03-14
7977.1,2009-03-16
7972.3,2009-03-17
7966.5,2009-03-18
7965.6,2009-03-25
7965.8,2009-03-28
7955.4,2009-03-29
7970.3,2009-03-30
7988.7,2009-03-31
8001.6,2009-04-04
8006.0,2009-04-05
8049.0,2009-04-06
8077.9,2009-04-07
8111.1,2009-04-08
8153.5,2009-04-11
8175.9,2009-04-12
8203.6,2009-04-13
8252.4,2009-04-14
8251.6,2009-04-15
8290.4,2009-04-18
8348.0,2009-04-19
8431.2,2009-04-20
8434.9,2009-04-21
8476.4,2009-04-22
8469.1,2009-04-25
8502.6,2009-04-26
8518.1,2009-04-27
8527.8,2009-04-28
8535.0,2009-04-29
8548.3,2009-05-02
8584.6,2009-05-03
8638.3,2009-05-04
8699.5,2009-05-05
8774.2,2009-05-06
8872.4,2009-05-09
8930.4,2009-05-10
8989.5,2009-05-11
8968.3,2009-05-12
8932.1,2009-05-13
8888.0,2009-05-16
8919.4,2009-05-17
8963.8,2009-05-18
8956.3,2009-05-19
9000.8,2009-05-20
9042.1,2009-05-23
9019.5,2009-05-24
8971.1,2009-05-25
8934.6,2009-05-26
8953.7,2009-05-27
9001.3,2009-05-30
9000.6,2009-05-31
9006.3,2009-06-01
9032.3,2009-06-02
9081.7,2009-06-03
9121.3,2009-06-06
9195.1,2009-06-07
9235.5,2009-06-08
9278.5,2009-06-09
9343.3,2009-06-10
9365.4,2009-06-13
9310.3,2009-06-14
9299.0,2009-06-15
9271.1,2009-06-16
9247.2,2009-06-17
9247.7,2009-06-20
9258.4,2009-06-21
9251.8,2009-06-22
9340.0,2009-06-23
9338.6,2009-06-24
9342.6,2009-06-27
9353.7,2009-06-28
9360.1,2009-06-29
9387.6,2009-06-30
9471.0,2009-07-01
9470.4,2009-07-04
9452.7,2009-07-05
9457.9,2009-07-07
9438.5,2009-07-11
9415.8,2009-07-12
9352.8,2009-07-13
9374.0,2009-07-14
9394.6,2009-07-15
9394.6,2009-07-16
9442.2,2009-07-18
9474.5,2009-07-19
9511.1,2009-07-21
9522.2,2009-07-22
9522.9,2009-07-25
9530.3,2009-07-26
9703.7,2009-07-27
9727.1,2009-07-28
9765.6,2009-07-29
9811.2,2009-08-01
9831.2,2009-08-02
9835.0,2009-08-03
9861.1,2009-08-04
9904.4,2009-08-05
9999.0,2009-08-08
10044.0,2009-08-09
10114.2,2009-08-10
10139.4,2009-08-11
10194.0,2009-08-12
10250.8,2009-08-15
10333.2,2009-08-16
10405.4,2009-08-17
10442.5,2009-08-18
10472.4,2009-08-19
10555.4,2009-08-22
10612.2,2009-08-23
10686.1,2009-08-24
10983.6,2009-08-25
11576.9,2009-08-26
11734.4,2009-08-29
11693.5,2009-08-30
11688.3,2009-08-31
11741.0,2009-09-01
11747.2,2009-09-02
11678.5,2009-09-05
11634.5,2009-09-06
11589.7,2009-09-07
11639.0,2009-09-08
