,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,20220831,1930,11,916,6,27457268,8635447,27308224,8784491,141040095110,44404707500,140295325160,45149477450,5136.712622319162,5137.475258735244,5142.143481397084,5139.680540397844,149044.0
1,20220830,2444,7,924,13,38097398,7229124,29888948,15437574,196977256850,37477816580,154686787880,79768285550,5170.359845835141,5175.384154704943,5184.281882562811,5167.151623046471,8208450.0
2,20220829,2451,11,1073,14,43176349,6834953,33561119,16450183,225913038510,35737131390,175617143380,86033026520,5232.333065262188,5232.755897680289,5228.584803728716,5229.913036225797,9615230.0
3,20220828,2007,12,893,9,40137018,9261832,46815945,2582905,211585643300,48823303450,246765627630,13643319120,5271.5835366742995,5270.97397329051,5271.4520680141895,5282.160636957225,-6678927.0
4,20220827,2320,8,1149,12,44676661,6970789,40468322,11179128,238012916220,37188912190,215610937660,59590890750,5327.455340048801,5327.894189929595,5334.964548489418,5330.549104545542,4208339.0
5,20220824,2433,6,1074,20,64053172,4646244,30822456,37876960,341124731740,24763337000,164155081290,201732987450,5325.649317413976,5325.8274191388255,5329.7538829213445,5326.007880516282,33230716.0
6,20220823,3106,9,1543,16,58082075,4311154,51648211,10745018,306312873330,22809816550,272453128290,56669561590,5273.793564193428,5275.170678999898,5290.884192492312,5274.031331543605,6433864.0
7,20220822,3142,14,2325,19,53617738,63434673,90419949,26632462,284791650860,337082647520,480526551820,141347746560,5311.519312135099,5314.386450494459,5313.854893206433,5307.348098722529,-36802211.0
8,20220821,804,5,543,13,14613369,50180431,29272091,35521709,79223308920,272090954050,158710993540,192603269430,5421.289842198606,5421.921978173681,5422.252233146423,5422.1284631885255,-14658722.0
9,20220817,2182,6,1255,13,35782991,40423190,36732725,39473456,198581293870,225335751500,204119827160,219797218210,5549.600196081988,5556.893128947008,5574.41784035352,5568.228386437711,-949734.0
10,20220816,2211,8,1238,10,41263053,12905763,45517466,8651350,231440258660,72173276430,255193815320,48419719770,5608.898077900343,5606.503123877766,5592.329289635955,5596.781978535142,-4254413.0
11,20220815,2626,14,1280,4,45298018,24391886,45967829,23722075,256678423490,138406670510,260721722730,134363371270,5666.438286328555,5671.830243059771,5674.291463562924,5664.064853938789,-669811.0
12,20220814,2636,11,1507,12,55344450,6333480,37542829,24135101,317860997740,36226104330,215698281900,138388820170,5743.322008620557,5745.392333113735,5719.778751965744,5733.923391080899,17801621.0
13,20220813,3822,15,2483,22,119816624,29718980,71542296,77993308,692005276320,172606217670,410910504030,453700989960,5775.536425730039,5743.60241429769,5807.945550957671,5817.178442540224,48274328.0
